line number,satellite catalog number,classification,International Designator(launch year),International Designator (launch num),International Designator (piece of launch),epoch year,epoch day,first time derivative of mean motion(ballisitc coefficient),second time derivative of mean motion(delta-dot),bstar drag term,ephemeris type,element number,checksum,inclination,right ascension of the ascending node,eccentricity,argument of perigee,mean anomaly,mean motion,revolution number at epoch,#JCAT,DeepCat,Satcat,Piece,Active,Type,Name,LDate,Parent,Owner,State,SDate,ExpandedStatus,DDate,ODate,Period,Perigee,PF,Apogee,AF,Inc,IF,OpOrbit,PLName,Primary,Status,Dest,Manufacturer,Bus,Motor,Mass,MassFlag,DryMass,DryFlag,TotMass,TotFlag,Length,LFlag,Diameter,DFlag,Span,SpanFlag,Shape,OQUAL,AltNames
1,33207,U,08,035,A  ,23,110.49043260,-.00000063, 00000+0, 00000+0,0,  999,4,  0.0112,183.9326,0002774,189.0102,261.9146, 1.00272048, 3965,S33207,-,33207,2008-035A,P,P           ,Echostar XI,2008 Jul 16,S33208,DISH,US,2008 Jul 16 0621,In Earth orbit,-,2023 Apr 16 ,    1436.109 ,   35774, ,   35798, ,  0.06 , ,GEO/S,Echostar 11,Earth,N,-,LOR,SSL-1300,R-4D-15-300,    5525 , ,   2000 ,?,    5525 , ,   5.6 ,?,  2.8 ,?,   31.0 ,?,Box + 2 Pan,-,-
1,33274,U,08,038,A  ,23,110.89941524,-.00000257, 00000+0, 00000+0,0,  999,0,  0.0117,246.1181,0001792,146.8778,283.4462, 1.00273100, 5381,S33274,-,33274,2008-038A,A,P           ,Superbird C2,2008 Aug 14,S33277,SKPJ,J,2008 Aug 14 2109,In Earth orbit,-,2023 Apr 16 ,    1436.115 ,   35778, ,   35794, ,  0.02 , ,GEO/S,Superbird 7,Earth,O,-,MELCO,DS-2000,R-4D-11-164,    4820 , ,   2018 , ,    4820 , ,   6.3 , ,  3.0 , ,   31.6 , ,Box + 2 Pan,-,-
1,33275,U,08,038,B  ,23,111.06101872, .00000030, 00000+0, 00000+0,0,  999,3,  0.0680, 84.5194,0002821,308.2621, 73.1506, 1.00272861, 5390,S33275,-,33275,2008-038B,A,P           ,AMC 21,2008 Aug 14,S33276,SESSL/SESG,UK,2008 Aug 14 2114,In Earth orbit,-,2023 Apr 16 ,    1436.103 ,   35774, ,   35798, ,  0.06 , ,GEO/S,Americom 21,Earth,O,-,OSCD,OSC Star 2.4,BT-4   ?,    2473 , ,   1161 , ,    2473 , ,   3.2 , ,  2.3 , ,   22.0 , ,Box + 2 Pan,-,-
1,33278,U,08,039,A  ,23,110.85130027,-.00000146, 00000+0, 00000+0,0,  999,6,  3.4336, 23.3037,0002747, 13.5288, 20.3097, 1.00273172, 3498,S33278,-,33278,2008-039A,A,P           ,Inmarsat 4 F3,2008 Aug 18,S33280,INMRL,UK,2008 Aug 19 0746,In Earth orbit,-,2023 Apr 16 ,    1436.096 ,   35775, ,   35797, ,  3.43 , ,GEO/I,INMARSAT 4 F3,Earth,O,-,ASTT,Eurostar 3000,R-4D-15-375,    5958 , ,   3000 ,?,    5958 , ,   7.0 , ,  2.9 , ,   45.0 , ,Box + 2 Pan + Dish,-,-
1,33320,U,08,041,A  ,23,111.18195364, .00001629, 00000+0, 22995-3,0,  999,6, 97.6493,134.3561,0019720,313.8818, 46.0764,14.78357579,78784,S33320,-,33320,2008-041A,P,P           ,Huanjing Jianzai 1A,2008 Sep  6,S33323,ZZWYZ,CN,2008 Sep  6 0416?,In Earth orbit,-,2023 Apr 16 ,      97.407 ,     620, ,     648, , 97.65 , ,LEO/S,HJ yihao A xing,Earth,O,-,DFHZ,CAST-968,-,     510 , ,    510 , ,     510 , ,   1.4 , ,  1.0 , ,    4.0 ,?,Box + 2 Pan,-,-
1,33321,U,08,041,B  ,23,111.18456059, .00002205, 00000+0, 30530-3,0,  999,3, 97.6620,138.5445,0032950,331.3801, 28.5602,14.78620616,78784,S33321,-,33321,2008-041B,A,P           ,Huanjing Jianzai 1B,2008 Sep  6,S33323,ZZWYZ,CN,2008 Sep  6 0416?,In Earth orbit,-,2023 Apr 16 ,      97.390 ,     610, ,     657, , 97.66 , ,LEO/S,HJ yihao B xing,Earth,O,-,DFHZ,CAST-968,-,     510 , ,    510 , ,     510 , ,   1.4 , ,  1.0 , ,    4.0 ,?,Box + 2 Pan,-,-
1,33331,U,08,042,A  ,23,111.16383487, .00001273, 00000+0, 24827-3,0,  999,3, 98.0872,186.3999,0009590, 42.7167,317.4805,14.64649488,78140,S33331,-,33331,2008-042A,A,P           ,GeoEye-1,2008 Sep  6,S33332,RADS,US,2008 Sep  6 1949,In Earth orbit,-,2023 Apr 16 ,      98.318 ,     671, ,     685, , 98.09 , ,LEO/S,GeoEye-1,Earth,O,-,GDG,SA-200HP,AOCS,    1923 , ,   1779 , ,    1923 , ,   4.4 , ,  2.7 , ,    5.0 ,?,Hex Cyl + Pan,-,Orbview-5
1,33373,U,08,044,A  ,23,110.85443821,-.00000226, 00000+0, 00000+0,0,  999,6,  0.0227,270.7031,0002357,122.8538, 40.7078, 1.00270454, 5341,S33373,-,33373,2008-044A,A,P           ,Nimiq 4,2008 Sep 19,S33375,TCANL,CA,2008 Sep 20 0659,In Earth orbit,-,2023 Apr 16 ,    1436.100 ,   35775, ,   35797, ,  0.02 , ,GEO/S,Nimiq 4,Earth,O,-,ASTT,Eurostar 3000,R-4D-15-375,    4850 , ,   2000 ,?,    4850 , ,   5.8 ,?,  2.5 ,?,   39.0 , ,Box + 2 Pan,-,-
1,33376,U,08,045,A  ,23,110.92917328,-.00000145, 00000+0, 00000+0,0,  999,6,  0.0149,239.2308,0002680,150.2982, 56.7083, 1.00271174, 5333,S33376,-,33376,2008-045A,A,P           ,Galaxy 19,2008 Sep 24,S33377,INTELU,US,2008 Sep 24 1031,In Earth orbit,-,2023 Apr 16 ,    1436.095 ,   35775, ,   35797, ,  0.02 , ,GEO/S,Galaxy 19,Earth,O,-,LOR,SSL-1300,R-4D-15-300,    4640 , ,   2000 ,?,    4640 , ,   5.6 ,?,  2.8 ,?,   31.0 ,?,Box + 2 Pan,-,-
1,33396,U,08,049,A  ,23,111.13850500, .00000038, 00000+0, 38193-4,0,  999,3, 98.7072,179.8055,0001321,101.9124,344.6278,14.20071704,75433,S33396,-,33396,2008-049A,A,P           ,Thaichote,2008 Oct  1,S33397,GISTDA,T,2008 Oct  1 0652?,In Earth orbit,-,2023 Apr 16 ,     101.403 ,     824, ,     826, , 98.71 , ,LEO/S,THEOS,Earth,O,-,ASTT,Astrosat-500,-,     750 , ,    670 , ,     750 , ,   2.4 , ,  2.1 , ,    3.0 ,?,Hex Cyl + Pan,-,-
